Student ID,Dropout (1=Yes 0=No),Status (A=Dropout B=Stayed),Degree Code,Study Mode,Entry Year,Admission Type,Active Enrollment,Displaced Student,Second Degree Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Pass Rate 2 Years Ago (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Unpaid Fees Flag,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Assignment Submissions (Total),Test Submissions (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0002ccc8623e,0,Stayed,ec2e990b934d,Full-time,2021,BMA,1.0,A,,100.0,100.0,100.0,100.0,,60.0,60.0,60.0,24.0,36.0,0.0,2,3,,18.0,97.0,1167.728483333333,32.0,,16.0,,,High (80-100%),Low (1-20 days),30-60 credits
00075bbc7af3,0,Stayed,bb668ca95563,Full-time,2022,NCA,1.0,B,"1,0",0.0,0.0,0.0,,,28.5,0.0,1.0,0.0,0.0,0.0,2,4,,2.0,35.0,56.93421666666666,2.0,,1.0,,,Low (0-40%),Low (1-20 days),<30 credits
0008337bd791,0,Stayed,1d0ebea552eb,Full-time,2020,NAP,1.0,B,,80.43,86.96,73.91,92.6829268292683,55.00000000000001,69.0,55.5,69.0,30.0,25.5,0.0,2,3,,45.0,233.0,4426.834883333334,116.0,37.0,28.0,,,High (80-100%),Medium (21-60 days),60-90 credits
000be0ddb26c,0,Stayed,d6a403173361,Full-time,2022,NAP,1.0,A,,32.5,58.33,21.43,,,60.0,19.5,19.5,10.5,9.0,0.0,1,1,,20.0,137.0,990.8554166666668,40.0,92.0,13.0,,,Low (0-40%),Low (1-20 days),30-60 credits
000d5aac651d,0,Stayed,0fecf9247f3d,Full-time,2019,NAP,1.0,A,,67.74,100.0,50.0,0.0,22.5,46.5,31.5,31.5,16.5,6.0,0.0,2,2,,29.0,258.0,1928.1993666666665,43.0,67.0,22.0,,,Good (60-80%),Medium (21-60 days),30-60 credits
000de0e88c7e,0,Stayed,38b2d03f3256,Full-time,2019,NAP,1.0,B,,100.0,100.0,100.0,76.19047619047619,85.0,61.5,61.5,61.5,34.5,27.0,0.0,2,4,,28.0,378.0,2830.1116,52.0,45.0,22.0,,,High (80-100%),Medium (21-60 days),60-90 credits
000e291ba405,0,Stayed,38b2d03f3256,Full-time,2020,NAI,1.0,A,,0.0,0.0,0.0,0.0,20.588235294117645,54.0,0.0,0.0,0.0,0.0,0.0,2,3,,2.0,34.0,183.0858166666667,6.0,54.0,1.0,,,Low (0-40%),Low (1-20 days),30-60 credits
0011dde39d99,0,Stayed,7559ca4a957c,Full-time,2019,NAP,0.0,A,,79.55,100.0,55.0,90.0,100.0,66.0,52.5,66.0,36.0,16.5,0.0,3,4,,20.0,264.0,1071.60905,32.0,38.0,14.0,,,Good (60-80%),Low (1-20 days),60-90 credits
00123fb6f525,0,Stayed,f8809aff4d69,Full-time,2022,NLE,1.0,A,,100.0,100.0,100.0,,,60.0,60.0,60.03,30.0,30.0,0.0,1,1,,55.0,291.0,3995.2993833333335,93.0,95.0,31.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00138ca10e54,0,Stayed,093434a3ee9e,Full-time,2022,NAP,1.0,A,,60.0,80.0,40.0,,,60.0,36.0,37.33,24.0,12.0,0.0,1,1,,51.0,355.0,3464.575433333334,88.0,167.0,41.0,,,Medium (40-60%),Medium (21-60 days),30-60 credits
0015a14d0e61,1,Dropout,620c9c332101,Full-time,2016,NAP,1.0,A,,12.5,33.33,0.0,56.41025641025641,35.0,48.0,6.0,12.0,6.0,0.0,0.0,3,4,,16.0,88.0,1092.9924333333333,23.0,75.0,12.0,,,Low (0-40%),Low (1-20 days),30-60 credits
0015fc0a5b4e,0,Stayed,01d54579da44,Full-time,2022,NAP,1.0,B,,88.33,100.0,86.27,,,60.0,53.0,53.0,9.0,5.0,0.0,1,1,,,,,,149.0,,,,High (80-100%),,30-60 credits
0016fdba43a0,0,Stayed,1d0ebea552eb,Full-time,2018,NAP,0.0,B,,100.0,100.0,100.0,70.96774193548387,91.30434782608695,28.5,28.5,28.5,16.5,12.0,0.0,4,4,,56.0,398.0,5178.708233333335,120.0,61.0,38.0,,,High (80-100%),Medium (21-60 days),<30 credits
0017043f04dc,0,Stayed,093434a3ee9e,Full-time,2022,NAP,1.0,B,,100.0,100.0,100.0,,,42.0,42.0,42.0,24.0,18.0,0.0,1,1,,10.0,68.0,673.4018,22.0,48.0,7.0,,,High (80-100%),Low (1-20 days),30-60 credits
001871270d17,0,Stayed,01d54579da44,Full-time,2018,NAP,0.0,A,,100.0,100.0,100.0,100.0,100.0,55.5,55.5,55.5,4.5,19.5,0.0,4,5,,3.0,18.0,138.84088333333332,4.0,123.0,2.0,,,High (80-100%),Low (1-20 days),30-60 credits
001d09a4b64c,0,Stayed,3d3286f7cd19,Full-time,2021,NAP,1.0,A,,100.0,100.0,100.0,80.0,,72.0,72.0,72.0,42.0,30.0,0.0,1,2,,48.0,499.0,4160.462033333333,108.0,158.0,29.0,,,High (80-100%),Medium (21-60 days),60-90 credits
001da21092d1,1,Dropout,d6a403173361,Full-time,2022,NAP,0.0,A,,0.0,0.0,0.0,,,60.0,0.0,0.0,0.0,0.0,0.0,1,1,,,,,,,,,,Low (0-40%),,30-60 credits
0027b50e63e5,0,Stayed,734d0759cdb4,Full-time,,,0.0,A,,,,,,,60.0,0.0,0.0,0.0,0.0,0.0,1,1,,,,,,,,,,,,30-60 credits
002b9d602755,0,Stayed,01d54579da44,Full-time,,,0.0,A,,,,,,,57.0,57.0,57.0,15.0,9.0,0.0,2,4,,,,,,130.0,,,,,,30-60 credits
002d13f66ffe,0,Stayed,2206b111c94d,Full-time,,,0.0,A,,100.0,,100.0,0.0,46.51162790697674,30.0,30.0,30.0,0.0,30.0,0.0,1,1,,,,,,102.0,,,,High (80-100%),,<30 credits
0030af669452,0,Stayed,0fecf9247f3d,Full-time,2019,NAP,0.0,A,,70.0,100.0,47.83,100.0,100.0,60.0,42.0,61.0,25.5,16.5,0.0,4,4,,41.0,575.0,3748.8888666666667,75.0,71.0,29.0,,,Good (60-80%),Medium (21-60 days),30-60 credits
0030d73cd8e6,0,Stayed,d4ee9f58e586,Full-time,2020,NTE,1.0,B,,100.0,100.0,100.0,89.28571428571429,80.64516129032258,48.0,48.0,49.67,30.0,18.0,0.0,2,4,,35.0,400.0,2038.0524666666665,66.0,174.0,24.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00311e6da87b,0,Stayed,2397346b4582,Full-time,,,0.0,B,,,,,,,45.0,45.0,45.0,36.0,9.0,0.0,1,4,,30.0,90.0,1665.7097,42.0,64.0,17.0,,,,Medium (21-60 days),30-60 credits
003140d5d783,0,Stayed,1d0ebea552eb,Full-time,2018,NAP,0.0,A,,100.0,100.0,100.0,70.96774193548387,75.60975609756098,37.5,37.5,37.5,25.5,12.0,0.0,4,4,,34.0,269.0,3393.0668666666666,80.0,114.0,27.0,,,High (80-100%),Medium (21-60 days),30-60 credits
0037572ca46e,0,Stayed,80c3cd40fa35,Full-time,2017,NAP,1.0,A,,67.57,100.0,52.0,100.0,100.0,55.5,37.5,37.5,18.0,19.5,0.0,4,4,,,,,,5.0,,,,Good (60-80%),,30-60 credits
003784be18af,0,Stayed,5ec1a0c99d42,Full-time,2020,NAP,1.0,A,,100.0,100.0,100.0,100.0,100.0,75.0,75.0,75.0,34.5,40.5,0.0,3,3,,18.0,94.0,1013.1595333333332,21.0,15.0,12.0,,,High (80-100%),Low (1-20 days),60-90 credits
00391536e6b1,0,Stayed,5ec1a0c99d42,Full-time,2022,NAP,1.0,B,,100.0,100.0,100.0,,,60.0,60.0,60.0,9.0,6.0,0.0,1,1,,12.0,29.0,540.45335,16.0,,2.0,,,High (80-100%),Low (1-20 days),30-60 credits
003bd069579b,0,Stayed,3d3286f7cd19,Full-time,2019,NAP,0.0,B,,100.0,100.0,100.0,93.33333333333331,100.0,60.0,60.0,60.0,34.5,25.5,0.0,4,4,,,,,,,,,,High (80-100%),,30-60 credits
003c27c61d28,1,Dropout,be47addbcb8f,Full-time,2021,NAP,0.0,A,,100.0,100.0,100.0,100.0,,60.0,60.0,60.0,6.0,9.0,0.0,2,2,,,,,,62.0,,,,High (80-100%),,30-60 credits
003e108faa68,0,Stayed,79d6eaa26761,Full-time,2021,NAP,1.0,B,,76.92,83.33,71.43,89.65517241379311,,58.5,45.0,45.0,22.5,22.5,0.0,1,2,,22.0,124.0,1781.2941333333333,42.0,101.0,19.0,,,Good (60-80%),Medium (21-60 days),30-60 credits
0046ec649611,0,Stayed,a512db2741cd,Full-time,2020,NAP,1.0,A,,77.5,85.0,70.0,67.5,100.0,60.0,46.5,51.0,25.5,21.0,0.0,2,3,,38.0,139.0,2027.7494000000002,51.0,148.0,23.0,,,Good (60-80%),Medium (21-60 days),30-60 credits
00495c738252,0,Stayed,0fecf9247f3d,Full-time,2020,NAP,1.0,A,,100.0,100.0,100.0,100.0,100.0,60.0,60.0,60.0,33.0,27.0,0.0,3,3,,56.0,1464.0,4785.200349999999,91.0,89.0,49.0,,,High (80-100%),Medium (21-60 days),30-60 credits
0049d896fb65,0,Stayed,9e3b6232cb7b,Full-time,,,0.0,A,,0.0,0.0,0.0,,,60.0,0.0,0.0,0.0,0.0,0.0,1,1,"1,0",,,,,,,,,Low (0-40%),,30-60 credits
004c3d733ff2,0,Stayed,ec2e990b934d,Full-time,,,0.0,A,,,,,,,42.0,0.0,0.0,0.0,0.0,0.0,1,1,,,,,,,,,,,,30-60 credits
004f95523855,0,Stayed,0fecf9247f3d,Full-time,2019,NAP,1.0,A,,86.67,63.64,100.0,27.027027027027028,100.0,45.0,39.0,39.0,10.5,10.5,0.0,2,2,,40.0,202.0,2001.2147333333335,54.0,126.0,25.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00524260147b,0,Stayed,60bfa6b5188a,Full-time,,,0.0,B,,100.0,,100.0,100.0,,12.0,12.0,12.0,0.0,0.0,0.0,2,2,,,,,,,,,,High (80-100%),,<30 credits
0052d25d361f,1,Dropout,620c9c332101,Full-time,2021,NAP,0.0,A,,10.0,20.0,0.0,0.0,,60.0,6.0,6.0,6.0,0.0,0.0,1,1,,10.0,55.0,645.8423833333334,13.0,139.0,5.0,,,Low (0-40%),Low (1-20 days),30-60 credits
005607c5c8ec,0,Stayed,734d0759cdb4,Full-time,2019,NAP,1.0,A,,0.0,0.0,0.0,0.0,22.5,61.5,0.0,0.0,0.0,0.0,0.0,2,3,,2.0,10.0,107.15966666666665,2.0,11.0,1.0,,,Low (0-40%),Low (1-20 days),60-90 credits
005705ce37f9,0,Stayed,109605b9bd37,Full-time,,,1.0,A,,28.57,50.0,20.0,100.0,0.0,21.0,6.0,6.0,3.0,3.0,0.0,1,1,,,,,,5.0,,,,Low (0-40%),,<30 credits
005be6564587,0,Stayed,5ec1a0c99d42,Full-time,2021,NAP,1.0,B,,100.0,100.0,100.0,100.0,,60.0,60.0,60.0,6.0,9.0,0.0,2,2,,8.0,130.0,375.8392666666667,10.0,119.0,6.0,,,High (80-100%),Low (1-20 days),30-60 credits
005f395e8998,0,Stayed,210e3b160c35,Full-time,2021,NAP,1.0,B,,100.0,100.0,100.0,100.0,,60.0,60.0,60.0,31.5,28.5,0.0,2,2,,30.0,205.0,2988.7152833333334,70.0,135.0,21.0,,,High (80-100%),Medium (21-60 days),30-60 credits
005f8708a20f,0,Stayed,2206b111c94d,Full-time,,,1.0,B,,50.0,100.0,23.08,,,60.0,30.0,30.0,21.0,0.0,0.0,1,1,,,,,,117.0,,,,Medium (40-60%),,30-60 credits
006839c7e3df,0,Stayed,a512db2741cd,Full-time,2020,NLE,1.0,A,,93.02,100.0,88.89,100.0,100.0,64.5,60.0,60.0,24.0,36.0,0.0,3,3,,33.0,168.0,1910.74465,43.0,179.0,22.0,,,High (80-100%),Medium (21-60 days),60-90 credits
0068835b0e8f,0,Stayed,bb668ca95563,Part-time,2021,NTE,1.0,A,,69.23,42.86,100.0,44.82758620689656,,19.5,13.5,13.5,4.5,9.0,0.0,2,2,,,,,,,,,,Good (60-80%),,<30 credits
0070d8e56145,0,Stayed,8bcbb4c131df,Full-time,,,0.0,B,,,,,,,60.0,0.0,0.0,0.0,0.0,0.0,1,1,,1.0,1.0,45.15983333333334,1.0,1.0,2.0,,,,Low (1-20 days),30-60 credits
007370574c60,0,Stayed,0fecf9247f3d,Full-time,2020,NAP,1.0,B,,100.0,100.0,100.0,100.0,100.0,60.0,60.0,63.33,33.0,27.0,0.0,3,3,,29.0,91.0,1760.2476833333333,44.0,113.0,19.0,,,High (80-100%),Medium (21-60 days),30-60 credits
0075e619af51,0,Stayed,5ec1a0c99d42,Full-time,2022,NAP,1.0,A,,100.0,100.0,100.0,,,60.0,60.0,60.0,9.0,6.0,0.0,1,1,,35.0,122.0,1467.6715166666665,49.0,79.0,19.0,,,High (80-100%),Medium (21-60 days),30-60 credits
007b3a3559d2,0,Stayed,61a229bae1e9,Full-time,2021,NAP,1.0,A,,100.0,100.0,100.0,100.0,,60.0,60.0,60.0,33.0,27.0,0.0,2,2,,39.0,202.0,2396.854733333333,62.0,122.0,24.0,,,High (80-100%),Medium (21-60 days),30-60 credits
007e56267503,0,Stayed,b847856411ae,Full-time,,,1.0,B,,100.0,100.0,100.0,,,60.0,60.0,60.0,30.0,30.0,0.0,1,1,,,,,,82.0,,,,High (80-100%),,30-60 credits
007fe716aee3,0,Stayed,620c9c332101,Full-time,2019,NRO,1.0,A,,75.0,100.0,45.0,80.0,100.0,66.0,49.5,53.86,36.0,13.5,0.0,3,4,,,,,,56.0,,,,Good (60-80%),,60-90 credits
0082a715fea4,1,Dropout,ec2e990b934d,Full-time,2022,NTE,0.0,A,,0.0,0.0,0.0,,,54.0,0.0,0.0,0.0,0.0,0.0,1,2,,1.0,1.0,45.06945,1.0,21.0,,,,Low (0-40%),Low (1-20 days),30-60 credits
0088aa76d8c6,0,Stayed,d4ee9f58e586,Full-time,2018,NRO,0.0,A,,100.0,,100.0,50.0,100.0,12.0,12.0,12.0,0.0,12.0,0.0,4,4,,,,,,5.0,,,,High (80-100%),,<30 credits
008c28a29a25,0,Stayed,620c9c332101,Full-time,2019,NRO,0.0,A,,100.0,100.0,100.0,100.0,100.0,54.0,54.0,60.0,28.5,13.5,0.0,4,4,,46.0,572.0,5072.008716666666,86.0,87.0,24.0,,,High (80-100%),Medium (21-60 days),30-60 credits
008c7c2ac43f,1,Dropout,3b731d7620bf,Full-time,,,0.0,A,,0.0,0.0,0.0,100.0,,60.0,0.0,0.0,0.0,0.0,39.0,2,2,,,,,,,,,,Low (0-40%),,30-60 credits
009544d860cd,0,Stayed,77334823791b,Full-time,,,1.0,B,,100.0,100.0,100.0,,,60.0,60.0,60.0,30.0,30.0,0.0,1,1,,,,,,142.0,,,,High (80-100%),,30-60 credits
0095f48d6f6c,0,Stayed,2811745d7b8d,Full-time,2019,NAP,1.0,A,,62.16,100.0,30.0,92.5,100.0,55.5,34.5,34.5,25.5,9.0,0.0,4,4,,46.0,140.0,2722.9959666666664,74.0,70.0,13.0,,,Good (60-80%),Medium (21-60 days),30-60 credits
009683ce1321,0,Stayed,7e8250dfc4ec,Part-time,,,1.0,A,,100.0,100.0,100.0,,,24.0,24.0,24.0,12.0,12.0,0.0,1,1,,,,,,63.0,,,,High (80-100%),,<30 credits
009852bdcc55,0,Stayed,4a8596a7790b,Full-time,2021,NAP,1.0,B,,100.0,100.0,100.0,100.0,,60.0,60.0,62.33,30.0,30.0,0.0,2,2,,51.0,303.0,4642.293566666666,113.0,137.0,36.0,,,High (80-100%),Medium (21-60 days),30-60 credits
009a42977257,0,Stayed,0a5b046d07f6,Full-time,2019,NCA,1.0,A,"1,0",0.0,,0.0,0.0,100.0,9.0,0.0,0.0,0.0,0.0,0.0,4,4,,,,,,,,,,Low (0-40%),,<30 credits
009d3daab8eb,0,Stayed,01d54579da44,Full-time,2020,NAP,1.0,B,,100.0,100.0,100.0,85.0,100.0,60.0,60.0,60.0,12.0,6.0,0.0,2,3,,7.0,31.0,361.6586666666667,9.0,125.0,3.0,,,High (80-100%),Low (1-20 days),30-60 credits
00a7d876fbd9,0,Stayed,9e6296be2bb9,Full-time,,,0.0,B,,100.0,,100.0,53.84615384615385,,25.0,25.0,25.0,0.0,25.0,0.0,1,1,,,,,,,,,,High (80-100%),,<30 credits
00aa4612f188,0,Stayed,1d0ebea552eb,Full-time,2019,NAP,0.0,A,,100.0,100.0,100.0,100.0,100.0,46.5,46.5,60.0,30.0,16.5,0.0,4,4,,52.0,432.0,5745.128066666666,178.0,111.0,38.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00ac611a7b70,0,Stayed,620c9c332101,Full-time,2020,NAP,1.0,B,,92.86,84.21,100.0,68.0,75.0,63.0,58.5,58.5,24.0,34.5,0.0,2,3,,32.0,273.0,2691.7919166666666,63.0,129.0,30.0,,,High (80-100%),Medium (21-60 days),60-90 credits
00b0db9b16f1,0,Stayed,2397346b4582,Full-time,2019,NAP,1.0,A,,71.43,57.89,100.0,78.04878048780488,67.5,42.0,30.0,30.0,16.5,13.5,0.0,3,4,,26.0,485.0,1926.64675,65.0,73.0,19.0,,,Good (60-80%),Medium (21-60 days),30-60 credits
00b66e8070c9,0,Stayed,f57e5cb1f453,Full-time,2021,NAP,1.0,B,,100.0,100.0,100.0,100.0,,60.0,60.0,60.0,30.0,30.0,0.0,2,2,,43.0,705.0,3262.52415,70.0,2.0,24.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00ba1e774c1f,0,Stayed,82c7725c70dc,Full-time,,,0.0,B,,100.0,100.0,100.0,,,60.0,60.0,60.0,31.5,28.5,0.0,1,1,,,,,,141.0,,,,High (80-100%),,30-60 credits
00baa3859984,0,Stayed,7045d16ae7f0,Full-time,2022,NAP,1.0,A,,100.0,100.0,100.0,,,60.0,60.0,60.0,30.0,30.0,0.0,1,1,,41.0,237.0,2683.1347166666665,61.0,127.0,34.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00bcf9a10e6e,0,Stayed,1d0ebea552eb,Full-time,2020,NAP,1.0,A,,60.0,55.0,65.0,81.25,70.0,60.0,36.0,36.0,16.5,19.5,0.0,2,3,,45.0,182.0,3017.4674999999997,69.0,38.0,35.0,,,Medium (40-60%),Medium (21-60 days),30-60 credits
00bebac74ba5,0,Stayed,d6a403173361,Full-time,2021,NLE,1.0,A,,100.0,100.0,100.0,100.0,,60.0,60.0,60.0,25.5,25.5,0.0,2,2,,,,,,143.0,,,,High (80-100%),,30-60 credits
00c98b8d59c4,0,Stayed,ec2e990b934d,Full-time,2020,NAP,1.0,A,,90.63,100.0,78.57,90.0,70.0,48.0,43.5,43.5,27.0,16.5,0.0,2,3,,40.0,280.0,3195.4997500000004,70.0,80.0,12.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00c9df4734d9,0,Stayed,5ec1a0c99d42,Full-time,2020,NAP,1.0,A,,84.09,53.33,100.0,100.0,100.0,66.0,55.5,55.5,12.0,39.0,0.0,3,4,,14.0,80.0,880.6945333333333,21.0,,5.0,,,High (80-100%),Low (1-20 days),60-90 credits
00d3e91167d7,0,Stayed,4a8596a7790b,Full-time,2022,NTE,1.0,A,,81.58,58.82,100.0,,,57.0,46.5,46.5,15.0,31.5,0.0,1,2,,,,,,112.0,,,,High (80-100%),,30-60 credits
00d895daa42b,0,Stayed,bb668ca95563,Full-time,2018,NAP,0.0,B,,100.0,100.0,100.0,62.5,100.0,18.0,18.0,18.0,6.0,12.0,0.0,4,4,,34.0,259.0,3398.8039833333332,63.0,25.0,18.0,,,High (80-100%),Medium (21-60 days),<30 credits
00daefee579a,0,Stayed,1523b662871b,Full-time,,,1.0,A,,100.0,100.0,100.0,,,60.0,60.0,72.0,30.0,30.0,0.0,1,2,,,,,,104.0,,,,High (80-100%),,30-60 credits
00dba8397f8f,0,Stayed,5cf4e26bd3d8,Full-time,2022,NAP,1.0,A,,100.0,100.0,100.0,,,60.0,60.0,61.0,30.0,30.0,0.0,1,1,,80.0,566.0,7959.4114,161.0,139.0,50.0,,,High (80-100%),High (60+ days),30-60 credits
00dc41af1241,0,Stayed,d4ee9f58e586,Full-time,2019,NAP,0.0,B,,85.0,100.0,64.71,100.0,100.0,60.0,51.0,61.0,34.5,16.5,0.0,2,4,,54.0,184.0,3181.8056166666665,77.0,85.0,38.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00e36f056eb4,0,Stayed,7559ca4a957c,Full-time,2022,NAP,1.0,A,,100.0,100.0,100.0,,,60.0,60.0,60.0,18.0,18.0,0.0,1,1,,58.0,763.0,4685.755516666666,108.0,93.0,47.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00f1bb1a997e,0,Stayed,88cf986449b6,Full-time,,,0.0,B,,100.0,100.0,100.0,,,60.0,60.0,60.0,22.5,37.5,0.0,1,1,,,,,,,,,,High (80-100%),,30-60 credits
00f7d8921103,0,Stayed,dac53c17c250,Full-time,2019,NAP,0.0,A,,90.0,80.0,100.0,100.0,100.0,60.0,54.0,60.0,24.0,30.0,0.0,4,4,,26.0,201.0,1700.0146499999996,34.0,117.0,19.0,,,High (80-100%),Medium (21-60 days),30-60 credits
00f91afebd70,0,Stayed,2c7d5490e605,Full-time,2020,NAP,1.0,A,,80.21,89.69,70.0,100.0,100.0,93.5,75.0,85.0,43.5,27.0,0.0,3,4,,1.0,5.0,46.63146666666667,1.0,1.0,,,,High (80-100%),Low (1-20 days),90+ credits
00fe364e6bb1,0,Stayed,1d0ebea552eb,Full-time,2020,NAP,1.0,A,,35.71,0.0,78.95,35.0,100.0,63.0,22.5,22.5,0.0,22.5,0.0,2,3,,26.0,127.0,1369.34315,40.0,126.0,17.0,,,Low (0-40%),Medium (21-60 days),60-90 credits
00ff724d17de,0,Stayed,d6a403173361,Full-time,2022,NAP,1.0,A,,50.0,66.67,42.86,,,60.0,30.0,30.0,12.0,9.0,0.0,1,1,,35.0,144.0,1559.8752499999998,56.0,101.0,19.0,,,Medium (40-60%),Medium (21-60 days),30-60 credits
010b6e64a0d2,0,Stayed,88cf986449b6,Full-time,,,1.0,B,,91.23,100.0,84.38,,,57.0,52.0,60.0,25.0,27.0,0.0,1,1,,,,,,133.0,,,,High (80-100%),,30-60 credits
010e688d8cd5,0,Stayed,9212e5e6ef41,Full-time,,,1.0,B,,71.43,100.0,50.0,,,70.0,50.0,50.0,30.0,20.0,0.0,1,1,,,,,,83.0,,,,Good (60-80%),,60-90 credits
01134c3defb5,0,Stayed,0fecf9247f3d,Full-time,2018,NAP,1.0,B,,80.0,100.0,0.0,92.85714285714286,83.78378378378379,45.0,36.0,54.0,36.0,0.0,0.0,3,4,,,,,,18.0,,,,Good (60-80%),,30-60 credits
0115a837b13a,1,Dropout,3b731d7620bf,Full-time,,,0.0,B,,65.0,100.0,30.0,100.0,,60.0,39.0,39.0,30.0,9.0,0.0,2,2,,,,,,91.0,,,,Good (60-80%),,30-60 credits
0116a126683f,0,Stayed,8bcbb4c131df,Full-time,2022,NAP,1.0,B,,100.0,100.0,100.0,,,60.0,60.0,60.0,21.0,21.0,0.0,1,1,,68.0,1323.0,4172.472316666667,116.0,161.0,45.0,,,High (80-100%),High (60+ days),30-60 credits
011901e56c65,0,Stayed,01d54579da44,Full-time,2019,NAP,1.0,A,,73.33,70.0,74.29,73.91304347826086,100.0,67.5,49.5,49.5,10.5,6.0,0.0,3,4,,,,,,9.0,,,,Good (60-80%),,60-90 credits
011a79cccebf,0,Stayed,dbae772db290,Full-time,2018,NAP,0.0,A,,80.95,66.67,100.0,100.0,80.0,52.5,42.5,60.5,20.0,22.5,0.0,4,4,,,,,,169.0,,,,High (80-100%),,30-60 credits
011ae1e38ea5,0,Stayed,734d0759cdb4,Part-time,2021,NAP,1.0,B,,42.5,0.0,85.0,100.0,,60.0,25.5,25.5,0.0,25.5,0.0,2,2,,1.0,6.0,47.36306666666667,1.0,,1.0,,,Medium (40-60%),Low (1-20 days),30-60 credits
0126c7755078,0,Stayed,2811745d7b8d,Full-time,2020,NAP,1.0,B,,92.5,100.0,85.0,100.0,90.0,60.0,55.5,55.5,30.0,25.5,0.0,3,3,,58.0,565.0,5155.655116666667,112.0,91.0,34.0,,,High (80-100%),Medium (21-60 days),30-60 credits
0129c8bffda8,0,Stayed,734d0759cdb4,Full-time,2022,NAP,1.0,B,,100.0,100.0,100.0,,,60.0,60.0,60.0,18.0,24.0,0.0,1,1,,26.0,196.0,1820.177633333333,43.0,136.0,20.0,,,High (80-100%),Medium (21-60 days),30-60 credits
012b05cae088,0,Stayed,01d54579da44,Full-time,2021,NAP,1.0,A,,100.0,100.0,100.0,100.0,,60.0,60.0,60.0,16.5,10.5,0.0,2,2,,42.0,741.0,3404.0196333333333,73.0,161.0,33.0,,,High (80-100%),Medium (21-60 days),30-60 credits
012c9653637d,0,Stayed,6a6581ce785d,Full-time,,,0.0,A,,,,,,,61.5,0.0,0.0,0.0,0.0,0.0,1,1,,,,,,4.0,,,,,,60-90 credits
012d92b69c36,0,Stayed,7bccba2d3a3f,Full-time,,,0.0,A,,100.0,,100.0,100.0,,10.0,10.0,30.0,0.0,0.0,0.0,2,2,,,,,,4.0,,,,High (80-100%),,<30 credits
012e3f4775dc,0,Stayed,be47addbcb8f,Full-time,2022,NTE,1.0,A,,100.0,100.0,100.0,,,60.0,60.0,60.0,15.0,0.0,0.0,1,2,,,,,,92.0,,,,High (80-100%),,30-60 credits
