Student ID,Dropout (1=Yes 0=No),Degree Code,Study Mode,Entry Year,Admission Type,Active Enrollment,Displaced Student,Second Degree Student,Overall Pass Rate (%),Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Pass Rate 2 Years Ago (%),Credits Enrolled Total,Credits Passed Total,Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Pending Grade,Lowest Year of Study,Highest Year of Study,Unpaid Fees Flag,Platform Days Logged (Total),Platform Events (Total),Platform Minutes (Total),Platform Visits (Total),Campus WiFi Days (Total),Resource Access Days (Total),Assignment Submissions (Total),Test Submissions (Total),Performance Bucket,Engagement Level,Credits Enrolled Band
0002ccc8623e,0,ec2e990b934d,1,2021,BMA,1,1,,100,100,100,100,,60,60,60,24,36,0,2,3,,18,97,1167.728483333333,32,,16,,,3,1,1
00075bbc7af3,0,bb668ca95563,1,2022,NCA,1,0,"1,0",0,0,0,,,28.5,0,1,0,0,0,2,4,,2,35,56.93421666666666,2,,1,,,0,1,0
0008337bd791,0,1d0ebea552eb,1,2020,NAP,1,0,,80.43,86.96,73.91,92.68292683,55.00000000000001,69,55.5,69,30,25.5,0,2,3,,45,233,4426.834883333334,116,37,28,,,3,2,2
000be0ddb26c,0,d6a403173361,1,2022,NAP,1,1,,32.5,58.33,21.43,,,60,19.5,19.5,10.5,9,0,1,1,,20,137,990.8554166666668,40,92,13,,,0,1,1
000d5aac651d,0,0fecf9247f3d,1,2019,NAP,1,1,,67.74,100,50,0,22.5,46.5,31.5,31.5,16.5,6,0,2,2,,29,258,1928.1993666666665,43,67,22,,,2,2,1
000de0e88c7e,0,38b2d03f3256,1,2019,NAP,1,0,,100,100,100,76.19047619047619,85,61.5,61.5,61.5,34.5,27,0,2,4,,28,378,2830.1116,52,45,22,,,3,2,2
000e291ba405,0,38b2d03f3256,1,2020,NAI,1,1,,0,0,0,0,20.588235294117645,54,0,0,0,0,0,2,3,,2,34,183.0858166666667,6,54,1,,,0,1,1
0011dde39d99,0,7559ca4a957c,1,2019,NAP,0,1,,79.55,100,55,90,100,66,52.5,66,36,16.5,0,3,4,,20,264,1071.60905,32,38,14,,,2,1,2
00123fb6f525,0,f8809aff4d69,1,2022,NLE,1,1,,100,100,100,,,60,60,60.03,30,30,0,1,1,,55,291,3995.2993833333335,93,95,31,,,3,2,1
00138ca10e54,0,093434a3ee9e,1,2022,NAP,1,1,,60,80,40,,,60,36,37.33,24,12,0,1,1,,51,355,3464.575433333334,88,167,41,,,1,2,1
