Dropout (1=Yes 0=No),Entry Year,Performance Bucket,Pass Rate Semester A (%),Pass Rate Semester B (%),Pass Rate Last Year (%),Credits Passed Normal,Credits Passed Sem A,Credits Passed Sem B,Credits Enrolled Total,Platform Days Logged (Total),Campus WiFi Days (Total)
0,2020.0,3.0,86.96,73.91,92.68292683,69.0,30.0,25.5,69.0,45.0,37.0
0,2019.0,2.0,100.0,50.0,0.0,31.5,16.5,6.0,46.5,29.0,67.0
0,2019.0,3.0,100.0,100.0,76.19047619,61.5,34.5,27.0,61.5,28.0,45.0
0,2020.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,2.0,54.0
0,2019.0,2.0,100.0,55.0,90.0,66.0,36.0,16.5,66.0,20.0,38.0
1,2016.0,0.0,33.33,0.0,56.41025641,12.0,6.0,0.0,48.0,16.0,75.0
0,2018.0,3.0,100.0,100.0,70.96774194,28.5,16.5,12.0,28.5,56.0,61.0
0,2018.0,3.0,100.0,100.0,100.0,55.5,4.5,19.5,55.5,3.0,123.0
0,2021.0,3.0,100.0,100.0,80.0,72.0,42.0,30.0,72.0,48.0,158.0
0,2019.0,2.0,100.0,47.83,100.0,61.0,25.5,16.5,60.0,41.0,71.0
0,2020.0,3.0,100.0,100.0,89.28571429,49.67,30.0,18.0,48.0,35.0,174.0
0,2018.0,3.0,100.0,100.0,70.96774194,37.5,25.5,12.0,37.5,34.0,114.0
0,2020.0,3.0,100.0,100.0,100.0,75.0,34.5,40.5,75.0,18.0,15.0
0,2021.0,2.0,83.33,71.43,89.65517241,45.0,22.5,22.5,58.5,22.0,101.0
0,2020.0,2.0,85.0,70.0,67.5,51.0,25.5,21.0,60.0,38.0,148.0
0,2020.0,3.0,100.0,100.0,100.0,60.0,33.0,27.0,60.0,56.0,89.0
0,2019.0,3.0,63.64,100.0,27.02702703,39.0,10.5,10.5,45.0,40.0,126.0
1,2021.0,0.0,20.0,0.0,0.0,6.0,6.0,0.0,60.0,10.0,139.0
0,2019.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.5,2.0,11.0
0,2021.0,3.0,100.0,100.0,100.0,60.0,6.0,9.0,60.0,8.0,119.0
0,2021.0,3.0,100.0,100.0,100.0,60.0,31.5,28.5,60.0,30.0,135.0
0,2020.0,3.0,100.0,88.89,100.0,60.0,24.0,36.0,64.5,33.0,179.0
0,2020.0,3.0,100.0,100.0,100.0,63.33,33.0,27.0,60.0,29.0,113.0
0,2021.0,3.0,100.0,100.0,100.0,60.0,33.0,27.0,60.0,39.0,122.0
0,2019.0,3.0,100.0,100.0,100.0,60.0,28.5,13.5,54.0,46.0,87.0
0,2019.0,2.0,100.0,30.0,92.5,34.5,25.5,9.0,55.5,46.0,70.0
0,2021.0,3.0,100.0,100.0,100.0,62.33,30.0,30.0,60.0,51.0,137.0
0,2020.0,3.0,100.0,100.0,85.0,60.0,12.0,6.0,60.0,7.0,125.0
0,2019.0,3.0,100.0,100.0,100.0,60.0,30.0,16.5,46.5,52.0,111.0
0,2020.0,3.0,84.21,100.0,68.0,58.5,24.0,34.5,63.0,32.0,129.0
0,2019.0,2.0,57.89,100.0,78.04878049,30.0,16.5,13.5,42.0,26.0,73.0
0,2021.0,3.0,100.0,100.0,100.0,60.0,30.0,30.0,60.0,43.0,2.0
0,2020.0,1.0,55.0,65.0,81.25,36.0,16.5,19.5,60.0,45.0,38.0
0,2020.0,3.0,100.0,78.57,90.0,43.5,27.0,16.5,48.0,40.0,80.0
0,2018.0,3.0,100.0,100.0,62.5,18.0,6.0,12.0,18.0,34.0,25.0
0,2019.0,3.0,100.0,64.71,100.0,61.0,34.5,16.5,60.0,54.0,85.0
